BBLCOUNT        1.0         0
0x7fa7b92ad1f5 1 2 12
0x7fa7b92ad0f4 0 3 14
0x7fa7b92ad03f 1 4 17
0x7fa7b92ad1d2 1 3 20
0x7fa7b92ad1bf 1 5 19
0x7fa7b92ad0a3 1 7 38
0x7fa7b92ad1a8 3 4 23
0x7fa7b92ad096 1 2 13
0x7fa7b92ad0c9 1 5 26
0x7fa7b92ad030 1 6 15
0x7fa7b92ad050 1 6 38
0x7fa7b92ad076 1 4 16
0x7fa7b92ad0e3 1 4 17
0x7fa7b92ba030 1 8 37
0x7fa7b92ba055 1 9 33
0x7fa7b92ba240 1 2 3
0x7fa7b92ba076 1 4 16
0x7fa7b92bbd68 0 4 18
0x7fa7b92bbd40 1 7 30
0x7fa7b92bbd5e 0 2 10
0x7fa7b92bbd68 0 4 18
0x7fa7b92bbd90 10007 13 71
0x7fa7b92bbdd7 10007 4 12
0x7fa7b92bbdf0 1541078 7 32
0x7fa7b92bbde3 10007 8 45
0x7fa7b92bbd5e 0 2 10
0x7fa7b92bbd40 10006 7 30
0x7fa7b92bbe10 10007 1 2
0x7fa7b92c2ec0 20080 8 35
0x7fa7b92c2ee3 20080 9 32
0x7fa7b92c2f03 20080 3 8
0x7fa7b92d06ac 2 2 5
0x7fa7b92d06b1 2 2 5
0x7fa7b92d06d2 0 3 10
0x7fa7b92d0670 4 2 9
0x7fa7b92d06b6 2 2 5
0x7fa7b92d0679 0 2 9
0x7fa7b92d060c 2 4 5
0x7fa7b92d0682 0 5 13
0x7fa7b92d0770 4 2 9
0x7fa7b92d0779 1 2 12
0x7fa7b92d072c 2 14 54
0x7fa7b92d06e5 0 2 9
0x7fa7b92d06dc 0 2 9
0x7fa7b92d06d2 2 3 10
0x7fa7b92d06cb 0 3 7
0x7fa7b92d06bb 2 3 7
0x7fa7b92d06c2 1 2 4
0x7fa7b92d06c6 4 2 5
0x7fa7b92d05d0 8 1 2
0x7fa7b92d0679 3 2 9
0x7fa7b92d0682 3 5 13
0x7fa7b92d068f 3 4 14
0x7fa7b92d069d 3 5 15
0x7fa7b92d05b0 8 8 32
0x7fa7b92d0581 0 2 5
0x7fa7b92d057b 2 2 6
0x7fa7b92d056e 4 2 13
0x7fa7b92d0552 4 5 28
0x7fa7b92d0528 4 13 42
0x7fa7b92d0520 4 2 8
0x7fa7b92d06ac 1 2 5
0x7fa7b92d057b 6 2 6
0x7fa7b92d05d2 4 3 8
0x7fa7b92d05d0 6 1 2
0x7fa7b92d05c0 6 5 16
0x7fa7b92d05e9 0 4 18
0x7fa7b92d0621 2 1 2
0x7fa7b92d0618 8 3 9
0x7fa7b92d05da 8 5 15
0x7fa7b92d05d2 4 3 8
0x7fa7b92d05d0 40 1 2
0x7fa7b92d056e 6 2 13
0x7fa7b92d0560 6 3 14
0x7fa7b92d060a 2 5 7
0x7fa7b92d05ff 8 3 11
0x7fa7b92d05da 32 5 15
0x7fa7b92d05d2 38 3 8
0x7fa7b92d05fb 0 2 4
0x7fa7b92d064f 2 4 12
0x7fa7b92d065b 2 4 10
0x7fa7b92d0665 2 3 7
0x7fa7b92d069d 2 5 15
0x7fa7b92d0899 2 4 14
0x7fa7b92d088c 2 4 13
0x7fa7b92d0885 2 2 7
0x7fa7b92d0820 2 5 15
0x7fa7b92d07f7 2 8 38
0x7fa7b92d07e0 2 9 23
0x7fa7b92d082f 2 2 9
0x7fa7b92d0838 2 5 15
0x7fa7b92d08c8 2 8 15
0x7fa7b92d084c 0 5 16
0x7fa7b92d0847 2 2 5
0x7fa7b92ee201 1 3 8
0x7fa7b92ee1d0 1 5 24
0x7fa7b930fd60 22006 2 9
0x7fa7b930fd69 22006 2 7
0x7fa7b930fd70 22006 2 8
0x7fa7b930fd78 22006 1 1
0x7fa7b931bf00 1 6 14
0x7fa7b931bf36 1 7 20
0x7fa7b931bf0e 1 3 8
0x7fa7b931bf16 1 3 13
0x7fa7b931bf23 1 2 5
0x7fa7b931bf28 0 10 34
0x7fa7b931bf50 1 3 12
0x7fa7cc7d6a80 12 1 6
0x7fa7cc7d6a90 11 1 6
0x7fa7cc7d6a80 6 1 6
0x7fa7cc7d6a90 6 1 6
0x7fa7cc7d6ab0 2 1 6
0x7fa7cc7d6ab0 7 1 6
0x7fa7cc7d7008 1 4 12
0x7fa7cc7d6fe2 0 5 26
0x7fa7cc7d6fde 1 2 4
0x7fa7cc7d6fc0 1 7 30
0x7fa7cc7d6fa1 0 4 19
0x7fa7cc7d6f99 1 3 8
0x7fa7cc7d6f94 1 1 5
0x7fa7cc7d6f8f 1 1 5
0x7fa7cc7d6ec8 1 6 31
0x7fa7cc7d6ee7 1 4 18
0x7fa7cc7d6ef9 1 7 36
0x7fa7cc7d6f70 0 5 31
0x7fa7cc7d6f68 1 3 8
0x7fa7cc7d6f54 1 6 20
0x7fa7cc7d6f1d 0 5 31
0x7fa7cc7d6f3c 1 4 14
0x7fa7cc7d6f4a 1 2 10
0x7fa7cc7d6f54 0 6 20
0x7fa7cc7d6f62 3 2 6
0x7fa7cc7d6f45 4 2 5
0x7fa7cc7d6f4a 3 2 10
0x7fa7cc7d7198 1 14 50
